מפקד האוכלוסין 2008,,חזרה להסברים על הקובץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלשכה המרכזית לסטטיסטיקה,,חזרה לאינדקס משתנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,תכונות גאוגרפיות ומשתנים דמוגרפיים ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,אזור,,,,565,1948,5,מחוז תל אביב,51,נפת תל אביב,513,אזור חולון,123,"מטרופולין תל אביב, טבעת פנימית, גזרה דרומית",170,"יישוב יהודי 19,999-10,000 תושבים",99,מועצה מקומית,2.4,10.6,5.2,5.4,4403.4,1,יהודים,95.3,1.7,24.6,63.6,11.8,25.7,63.9,10.4,23.5,63.4,13.1,643.6,34.0,33.0,35.0,55.1,44.9,56.6,43.4,53.8,46.2,71.9,28.1,40.4,35.8,22.3,1.5,35.7,19.8,10.7,32.9,0.9
51,אזור,,,1,565,1948,5,מחוז תל אביב,51,נפת תל אביב,513,אזור חולון,123,"מטרופולין תל אביב, טבעת פנימית, גזרה דרומית",170,"יישוב יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,3.2,1.5,1.7,,1,יהודים,98.3,,25.2,60.9,13.9,26.6,61.7,11.7,23.9,60.1,16.0,724.2,34.0,33.0,36.0,55.0,45.0,57.9,42.1,52.4,47.6,74.7,25.3,59.4,29.4,9.1,2.1,37.4,19.7,11.9,30.1,0.9
52,אזור,,,2,565,1948,5,מחוז תל אביב,51,נפת תל אביב,513,אזור חולון,123,"מטרופולין תל אביב, טבעת פנימית, גזרה דרומית",170,"יישוב יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,3.6,1.8,1.8,,1,יהודים,92.1,,24.5,63.1,12.4,25.0,63.9,11.2,24.1,62.3,13.6,654.0,34.0,34.0,35.0,53.1,46.9,54.0,46.0,52.3,47.7,71.1,28.9,42.2,25.6,30.9,1.3,36.5,19.2,12.2,31.1,0.9
53,אזור,,,3,565,1948,5,מחוז תל אביב,51,נפת תל אביב,513,אזור חולון,123,"מטרופולין תל אביב, טבעת פנימית, גזרה דרומית",170,"יישוב יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,3.8,1.9,1.9,,1,יהודים,95.8,,24.1,66.5,9.5,25.6,65.7,8.7,22.5,67.3,10.2,571.9,33.0,32.0,33.0,57.1,42.9,57.9,42.1,56.3,43.7,70.3,29.7,24.9,49.5,24.3,1.3,33.5,20.4,8.2,36.9,1.0
54,אילת,,,,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,100.4,47.3,24.0,23.4,471.3,1,יהודים,85.8,0.1,27.0,67.0,6.0,27.2,67.2,5.7,26.9,66.9,6.3,549.4,30.0,30.0,29.0,44.7,55.3,44.7,55.3,44.7,55.3,74.5,25.5,23.1,29.5,34.9,12.5,36.3,9.6,27.6,21.3,5.2
55,אילת,,1,,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,10.0,5.2,4.7,,1,יהודים,82.2,,19.8,72.3,7.9,19.0,73.9,7.2,20.8,70.5,8.7,424.2,30.0,31.0,29.0,35.2,64.8,33.5,66.5,37.1,62.9,69.7,30.3,26.5,28.7,31.6,13.1,33.0,10.1,30.3,20.8,5.9
56,אילת,,1,11+12,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,1.2,0.7,0.5,,1,יהודים,79.5,,8.3,86.6,5.2,7.1,88.5,4.4,9.9,83.8,6.2,168.3,27.0,28.0,25.0,21.0,79.0,18.2,81.8,25.0,75.0,68.8,31.2,16.4,27.3,38.0,18.3,33.4,10.5,24.6,26.0,5.5
57,אילת,,1,13+14,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.8,2.5,2.3,,1,יהודים,80.9,,17.9,73.7,8.4,17.7,74.4,7.9,18.1,73.0,9.0,401.1,33.0,33.0,32.0,37.7,62.3,35.8,64.2,39.9,60.1,67.6,32.4,27.8,31.7,29.6,10.9,29.7,10.7,34.2,19.2,6.2
58,אילת,,1,15+16,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.0,2.0,2.0,,1,יהודים,84.4,,25.6,66.3,8.1,24.6,68.2,7.2,26.6,64.4,8.9,555.4,28.0,29.0,26.0,36.8,63.2,36.5,63.5,37.1,62.9,72.2,27.8,27.9,25.2,32.4,14.5,36.6,9.4,27.3,21.2,5.6
59,אילת,,2,,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,19.9,9.9,9.9,,1,יהודים,83.6,,27.6,66.1,6.3,28.2,66.0,5.8,27.0,66.3,6.8,575.5,30.0,30.0,31.0,45.2,54.8,46.0,54.0,44.4,55.6,72.8,27.2,21.5,29.2,39.3,10.0,34.8,9.9,26.3,23.3,5.6
60,אילת,,2,21,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.4,2.2,2.2,,1,יהודים,77.8,,21.8,72.6,5.7,22.4,71.9,5.7,21.1,73.2,5.6,411.7,29.0,29.0,28.0,38.4,61.6,38.0,62.0,38.7,61.3,70.0,30.0,20.8,29.4,38.3,11.5,32.1,9.6,28.5,23.9,5.8
61,אילת,,2,22,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,2.7,1.4,1.3,,1,יהודים,76.5,,31.4,63.5,5.1,33.1,62.3,4.6,29.5,64.8,5.7,654.6,28.0,28.0,29.0,44.1,55.9,44.1,55.9,44.0,56.0,68.8,31.2,14.3,20.7,50.5,14.5,34.9,9.1,20.9,28.7,6.4
62,אילת,,2,23,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,6.1,3.0,3.1,,1,יהודים,88.1,,32.0,61.4,6.6,33.1,61.1,5.8,30.9,61.7,7.3,710.6,30.0,28.0,31.0,47.7,52.3,49.2,50.8,46.2,53.8,76.7,23.3,18.6,30.4,43.2,7.7,38.8,8.7,26.7,20.5,5.3
63,אילת,,2,24,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.8,1.9,1.9,,1,יהודים,93.8,,31.7,63.2,5.2,30.8,64.3,4.9,32.5,62.1,5.4,676.0,31.0,31.0,31.0,51.7,48.3,52.5,47.5,50.9,49.1,78.5,21.5,31.5,37.8,24.9,5.8,38.5,10.9,26.0,19.7,4.9
64,אילת,,2,25,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,2.8,1.4,1.4,,1,יהודים,75.9,,18.0,72.7,9.2,18.6,73.1,8.4,17.5,72.4,10.1,408.4,36.0,35.0,36.0,44.0,56.0,46.2,53.8,41.9,58.1,61.8,38.2,23.5,26.0,39.0,11.6,22.9,12.4,27.6,30.4,6.7
65,אילת,,3,,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,17.5,8.8,8.7,,1,יהודים,90.3,,30.5,65.1,4.5,30.9,64.6,4.6,30.1,65.6,4.4,599.4,29.0,29.0,29.0,50.3,49.7,50.8,49.2,49.8,50.2,78.7,21.3,22.8,30.4,31.4,15.5,39.5,9.1,27.6,19.4,4.3
66,אילת,,3,31,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.4,1.7,1.7,,1,יהודים,81.7,,20.2,72.4,7.4,19.6,72.6,7.8,20.7,72.2,7.0,429.1,29.0,30.0,29.0,38.8,61.2,38.5,61.5,39.1,60.9,68.6,31.4,25.5,29.4,31.5,13.6,30.3,10.3,25.8,26.7,6.9
67,אילת,,3,32,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,1.7,0.9,0.8,,1,יהודים,91.0,,23.4,71.4,5.2,23.8,70.1,6.1,23.0,72.9,4.1,462.9,32.0,32.0,32.0,50.3,49.7,49.4,50.6,51.2,48.8,74.9,25.1,34.3,30.0,21.0,14.7,35.8,10.5,28.2,21.7,3.7
68,אילת,,3,33,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.7,1.9,1.8,,1,יהודים,90.8,,31.5,64.6,3.9,32.2,63.9,3.9,30.9,65.3,3.8,613.6,27.0,28.0,27.0,49.6,50.4,50.0,50.0,49.1,50.9,78.6,21.4,17.8,31.7,35.4,15.1,39.3,9.0,27.6,19.7,4.3
69,אילת,,3,34,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,2.0,1.0,1.0,,1,יהודים,93.8,,33.6,62.9,3.5,33.5,62.6,3.9,33.6,63.2,3.2,672.1,26.0,27.0,26.0,48.9,51.1,47.8,52.2,49.9,50.1,79.7,20.3,18.0,25.3,27.6,29.1,43.1,8.6,26.3,18.6,3.4
70,אילת,,3,35,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,2.8,1.4,1.4,,1,יהודים,93.2,,36.7,59.8,3.6,38.0,58.6,3.5,35.4,61.0,3.6,755.1,29.0,30.0,29.0,59.0,41.0,61.9,38.1,56.2,43.8,82.8,17.2,21.7,33.4,31.6,13.3,43.1,8.1,28.9,16.1,3.8
71,אילת,,3,36,2600,1951,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.8,1.8,1.9,,1,יהודים,93.4,,35.8,60.9,3.3,36.8,60.5,2.7,34.9,61.3,3.8,690.7,29.0,29.0,29.0,58.5,41.5,60.8,39.2,56.3,43.7,84.9,15.1,20.6,31.4,36.2,11.7,44.1,8.9,28.3,15.2,3.5
72,אכסאל,,,,478,,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,9,11.9,6.2,5.7,1326.0,2,מוסלמים,99.8,0.6,45.3,51.8,2.9,46.4,51.0,2.7,44.1,52.6,3.2,1079.4,20.0,19.0,21.0,64.3,35.7,63.1,36.9,65.6,34.4,,,,,,,,,,,
73,אכסאל,,,1,478,,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,4.3,2.2,2.1,,2,מוסלמים,99.8,,47.1,50.4,2.5,48.2,49.4,2.4,45.9,51.6,2.5,1163.9,19.0,18.0,20.0,64.5,35.5,63.4,36.6,65.7,34.3,,,,,,,,,,,
74,אכסאל,,,2,478,,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,4.6,2.4,2.2,,2,מוסלמים,99.9,,44.4,52.4,3.2,45.4,51.9,2.7,43.3,52.9,3.8,1036.4,21.0,21.0,22.0,65.9,34.1,65.9,34.1,66.0,34.0,,,,,,,,,,,
75,אכסאל,,,3,478,,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,3.1,1.6,1.5,,2,מוסלמים,99.6,,44.2,52.7,3.2,45.3,51.7,3.0,43.0,53.8,3.3,1033.5,21.0,20.0,22.0,61.7,38.3,58.7,41.3,65.0,35.0,,,,,,,,,,,
76,אלון שבות,,,,3604,1970,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,190,"יישוב יהודי 4,999-2,000 תושבים",76,מועצה אזורית גוש עציון,,2.9,1.5,1.3,,1,יהודים,100.0,9.2,41.3,54.5,4.2,39.1,57.2,3.7,43.9,51.3,4.8,1006.4,21.0,21.0,22.0,63.9,36.1,58.3,41.7,70.7,29.3,76.2,23.8,7.0,27.7,40.7,24.5,43.5,3.0,6.5,19.7,27.4
77,אליכין,,,,41,1950,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",190,"יישוב יהודי 4,999-2,000 תושבים",99,מועצה מקומית,1.7,2.9,1.4,1.5,1706.5,1,יהודים,99.1,,33.5,57.3,9.2,33.8,59.3,6.9,33.2,55.4,11.4,846.5,30.0,29.0,31.0,56.4,43.6,57.2,42.8,55.6,44.4,85.7,14.3,81.6,7.0,8.9,2.5,48.6,42.2,4.6,3.5,1.1
78,אלעד,,,,1309,1998,4,מחוז המרכז,42,נפת פתח תקווה,422,אזור פתח תקווה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,2.8,33.9,17.0,16.9,12290.1,1,יהודים,100.0,0.8,58.8,40.5,0.7,59.3,39.9,0.8,58.3,41.0,0.7,1567.0,10.0,10.0,11.0,84.4,15.6,85.1,14.9,83.8,16.2,93.6,6.4,14.3,35.0,30.8,19.9,67.7,10.7,7.4,10.9,3.3
79,אלעד,,,1,1309,1998,4,מחוז המרכז,42,נפת פתח תקווה,422,אזור פתח תקווה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,5.8,3.0,2.8,,1,יהודים,99.9,,57.0,41.9,1.1,57.2,41.6,1.1,56.7,42.3,1.0,1570.3,12.0,12.0,12.0,77.1,22.9,74.4,25.6,80.1,19.9,92.9,7.1,19.3,37.9,30.1,12.6,66.8,10.8,6.9,12.2,3.3
80,אלעד,,,2,1309,1998,4,מחוז המרכז,42,נפת פתח תקווה,422,אזור פתח תקווה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,5.8,2.9,2.9,,1,יהודים,100.0,,59.6,39.3,1.1,60.0,38.9,1.1,59.2,39.7,1.1,1617.8,11.0,11.0,12.0,83.0,17.0,85.4,14.6,80.9,19.1,93.4,6.6,19.0,34.0,35.3,11.7,63.9,15.3,8.9,9.4,2.5
81,אלעד,,,3,1309,1998,4,מחוז המרכז,42,נפת פתח תקווה,422,אזור פתח תקווה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,5.1,2.6,2.6,,1,יהודים,100.0,,57.4,41.7,0.9,58.2,40.8,1.0,56.6,42.6,0.8,1507.8,11.0,10.0,13.0,81.9,18.1,84.5,15.5,79.6,20.4,92.4,7.6,15.0,35.0,29.1,20.9,63.4,15.6,9.5,9.3,2.2
82,אלעד,,,4,1309,1998,4,מחוז המרכז,42,נפת פתח תקווה,422,אזור פתח תקווה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,5.5,2.8,2.7,,1,יהודים,100.0,,61.9,37.7,0.3,62.7,36.9,0.4,61.1,38.6,0.3,1720.1,9.0,9.0,9.0,87.1,12.9,86.1,13.9,88.1,11.9,95.0,5.0,11.2,41.6,32.4,14.8,71.6,8.0,5.7,11.5,3.2
83,אלעד,,,5,1309,1998,4,מחוז המרכז,42,נפת פתח תקווה,422,אזור פתח תקווה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.8,2.4,2.4,,1,יהודים,100.0,,59.6,39.6,0.8,60.5,38.7,0.8,58.7,40.5,0.8,1606.6,9.0,9.0,10.0,86.0,14.0,88.2,11.8,83.9,16.1,94.3,5.7,13.6,34.3,32.1,20.0,68.5,10.1,7.6,10.3,3.5
84,אלעד,,,6+7,1309,1998,4,מחוז המרכז,42,נפת פתח תקווה,422,אזור פתח תקווה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,6.9,3.4,3.5,,1,יהודים,100.0,,57.6,42.1,0.4,57.6,42.1,0.3,57.5,42.0,0.4,1433.6,9.0,9.0,10.0,91.0,9.0,92.7,7.3,89.5,10.5,93.6,6.4,7.3,29.6,27.0,36.1,71.2,5.5,6.3,12.2,4.7
85,אלפי מנשה,,,,3750,1983,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,180,"יישוב יהודי 9,999-5,000 תושבים",99,מועצה מקומית,,6.3,3.2,3.1,,1,יהודים,98.1,,32.8,64.1,3.1,33.0,63.6,3.4,32.6,64.7,2.7,639.6,30.0,29.0,31.0,62.9,37.1,61.4,38.6,64.5,35.5,85.5,14.5,33.4,35.9,26.4,4.3,48.8,14.0,12.0,21.4,3.8
86,אלקנה,,,,3560,1977,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,190,"יישוב יהודי 4,999-2,000 תושבים",99,מועצה מקומית,,3.4,1.6,1.8,,1,יהודים,99.6,5.7,34.5,60.5,4.9,34.4,59.4,6.2,34.7,61.5,3.8,742.2,24.0,26.0,23.0,64.4,35.6,70.1,29.9,59.5,40.5,87.4,12.6,33.5,40.4,16.2,10.0,55.0,6.7,5.9,24.9,7.5
87,אעבלין,,,,529,,2,מחוז הצפון,24,נפת עכו,241,אזור שפרעם,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,12.1,11.3,5.6,5.7,932.2,2,מוסלמים,56.2,0.4,40.2,55.8,4.0,40.5,56.0,3.5,39.9,55.6,4.5,920.7,23.0,23.0,24.0,61.0,39.0,61.6,38.4,60.4,39.6,,,,,,,,,,,
88,אעבלין,,,1,529,,2,מחוז הצפון,24,נפת עכו,241,אזור שפרעם,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,4.2,2.1,2.1,,2,מוסלמים,58.8,,41.8,55.3,2.9,40.8,56.4,2.8,42.8,54.2,3.1,953.2,22.0,22.0,21.0,60.3,39.7,59.5,40.5,61.1,38.9,,,,,,,,,,,
89,אעבלין,,,2,529,,2,מחוז הצפון,24,נפת עכו,241,אזור שפרעם,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,3.5,1.7,1.8,,3,נוצרים,64.0,,37.1,56.9,6.0,37.9,57.3,4.8,36.3,56.6,7.1,860.4,27.0,26.0,28.0,60.1,39.9,61.9,38.1,58.3,41.7,,,,,,,,,,,
90,אעבלין,,,3,529,,2,מחוז הצפון,24,נפת עכו,241,אזור שפרעם,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,3.6,1.8,1.8,,2,מוסלמים,74.7,,41.4,55.3,3.3,42.7,54.2,3.1,40.0,56.5,3.6,944.3,22.0,22.0,23.0,62.8,37.2,64.0,36.0,61.6,38.4,,,,,,,,,,,
91,אפרתה,,,,3650,1980,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,180,"יישוב יהודי 9,999-5,000 תושבים",99,מועצה מקומית,,6.9,3.6,3.3,,1,יהודים,99.8,5.3,43.1,53.2,3.7,45.5,50.9,3.6,40.4,55.8,3.8,1015.1,22.0,20.0,23.0,63.9,36.1,61.6,38.4,66.4,33.6,68.9,31.1,6.2,37.1,36.2,20.5,32.8,4.1,7.5,19.6,35.9
92,אריאל,,,,3570,1978,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,17.5,8.6,9.0,,1,יהודים,81.6,8.8,23.8,68.3,8.0,24.5,68.7,6.8,23.1,67.9,9.0,539.6,29.0,29.0,30.0,51.7,48.3,53.1,46.9,50.4,49.6,60.6,39.4,7.1,11.8,77.3,3.8,30.1,11.2,10.1,45.3,3.2
93,אריאל,,,1,3570,1978,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,2.3,1.1,1.2,,1,יהודים,83.2,,22.4,68.3,9.3,22.4,68.7,8.9,22.5,67.9,9.7,560.2,36.0,34.0,38.0,54.0,46.0,55.0,45.0,53.2,46.8,64.5,35.5,12.9,17.3,65.8,4.0,32.0,15.7,9.5,40.6,2.2
94,אריאל,,,2,3570,1978,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,2.9,1.4,1.5,,1,יהודים,85.7,,21.4,67.0,11.6,22.2,68.4,9.4,20.6,65.7,13.6,589.0,35.0,34.0,38.0,54.0,46.0,57.1,42.9,51.2,48.8,62.8,37.2,17.2,15.1,64.7,3.0,30.4,13.0,11.3,42.4,2.8
95,אריאל,,,3,3570,1978,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,4.1,2.0,2.1,,1,יהודים,83.5,,26.6,65.8,7.6,26.2,66.9,6.8,27.0,64.7,8.3,615.8,32.0,32.0,33.0,57.1,42.9,58.7,41.3,55.6,44.4,63.7,36.3,8.0,15.4,73.2,3.4,31.3,13.0,10.4,41.8,3.5
96,אריאל,,,4,3570,1978,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,4.1,2.0,2.1,,1,יהודים,77.9,,29.7,62.6,7.7,31.3,62.2,6.5,28.2,63.0,8.8,678.0,32.0,31.0,32.0,61.1,38.9,63.3,36.7,59.0,41.0,54.4,45.6,1.7,7.6,86.6,4.1,27.2,9.3,6.2,53.9,3.3
97,אריאל,,,5,3570,1978,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,4.1,2.0,2.1,,1,יהודים,79.6,,17.5,77.3,5.2,18.8,76.9,4.3,16.1,77.7,6.2,327.9,25.0,26.0,24.0,35.5,64.5,35.3,64.7,35.7,64.3,59.3,40.7,2.0,8.0,85.9,4.1,30.4,7.1,13.0,45.7,3.8
98,אשדוד,,,,70,1955,6,מחוז הדרום,61,נפת אשקלון,613,אזור אשדוד,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",130,"יישוב יהודי 499,999-200,000 תושבים",0,עירייה,51.1,204.3,99.8,104.5,4002.3,1,יהודים,91.2,2.3,31.9,56.3,11.8,33.3,56.3,10.4,30.5,56.3,13.2,871.0,31.0,29.0,32.0,57.4,42.6,59.8,40.2,55.2,44.8,55.8,44.2,8.0,29.6,55.2,7.2,25.3,7.7,25.1,39.1,2.8
99,אשדוד,1,,,70,1955,6,מחוז הדרום,61,נפת אשקלון,613,אזור אשדוד,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",130,"יישוב יהודי 499,999-200,000 תושבים",0,עירייה,,40.8,20.1,20.8,,1,יהודים,88.7,,32.0,52.2,15.8,34.1,52.6,13.3,29.9,51.8,18.3,1032.7,30.0,27.0,32.0,49.3,50.7,51.0,49.0,47.7,52.3,56.1,43.9,9.4,27.9,55.3,7.4,28.3,8.6,28.0,32.3,2.9
100,אשדוד,1,12,,70,1955,6,מחוז הדרום,61,נפת אשקלון,613,אזור אשדוד,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",130,"יישוב יהודי 499,999-200,000 תושבים",0,עירייה,,13.1,6.3,6.8,,1,יהודים,83.5,,21.4,55.4,23.2,24.1,56.4,19.5,18.9,54.4,26.7,893.4,39.0,36.0,43.0,46.0,54.0,48.7,51.3,43.6,56.4,42.1,57.9,13.4,23.9,51.8,10.8,14.9,7.9,33.4,40.3,3.5
101,אשדוד,1,12,121+122,70,1955,6,מחוז הדרום,61,נפת אשקלון,613,אזור אשדוד,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",130,"יישוב יהודי 499,999-200,000 תושבים",0,עירייה,,2.9,1.4,1.4,,1,יהודים,81.8,,17.1,49.0,34.0,21.2,47.6,31.2,12.8,50.3,36.8,1157.8,49.0,42.0,55.0,51.5,48.5,51.7,48.3,51.3,48.7,35.1,64.9,14.5,14.8,59.2,11.5,11.7,6.0,25.8,51.3,5.2
102,אשדוד,1,12,123,70,1955,6,מחוז הדרום,61,נפת אשקלון,613,אזור אשדוד,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",130,"יישוב יהודי 499,999-200,000 תושבים",0,עירייה,,3.6,1.7,1.8,,1,יהודים,84.7,,24.5,60.4,15.1,25.1,61.0,13.9,23.9,59.8,16.3,743.4,34.0,33.0,35.0,49.4,50.6,50.9,49.1,48.0,52.0,48.5,51.5,16.4,24.7,42.9,16.0,17.2,9.5,35.3,34.4,3.6
103,אשדוד,1,12,124+125,70,1955,6,מחוז הדרום,61,נפת אשקלון,613,אזור אשדוד,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",130,"יישוב יהודי 499,999-200,000 תושבים",0,עירייה,,2.6,1.3,1.4,,1,יהודים,83.4,,22.4,54.8,22.9,26.6,56.3,17.1,18.5,53.4,28.1,892.7,40.0,35.0,45.0,39.8,60.2,44.1,55.9,36.2,63.8,41.0,59.0,10.1,30.6,52.2,7.2,15.3,7.1,35.2,40.0,2.4
